time_s,agent_id,x,y,base_speed,desired_speed,speed_factor,extinction_per_m
0.0,1,-49.64226379018813,-0.08005403342208706,1.25,1.1490793201133145,0.9192634560906515,1.0
0.1,1,-49.613384531581566,-0.08003784615111231,1.25,1.1490793201133145,0.9192634560906515,1.0
0.2,1,-49.54695648712157,-0.07999606229289632,1.25,1.1490793201133145,0.9192634560906515,1.0
0.31,1,-49.45246119809496,-0.07992612543574949,1.25,1.1490793201133145,0.9192634560906515,1.0
0.41,1,-49.357488746745254,-0.07984489592784653,1.25,1.1490793201133145,0.9192634560906515,1.0
0.52,1,-49.24772506843922,-0.0797399479798308,1.25,1.1490793201133145,0.9192634560906515,1.0
0.63,1,-49.13433341408104,-0.07962189410336507,1.25,1.1490793201133145,0.9192634560906515,1.0
0.74,1,-49.01827327127162,-0.07949342690964241,1.25,1.1490793201133145,0.9192634560906515,1.0
0.85,1,-48.9001348956946,-0.07935670995620994,1.25,1.1490793201133145,0.9192634560906515,1.0
0.95,1,-48.79129511676545,-0.0792267325564056,1.25,1.1490793201133145,0.9192634560906515,1.0
1.06,1,-48.67029647488858,-0.07907880436161885,1.25,1.1490793201133145,0.9192634560906515,1.0
1.17,1,-48.54822152960389,-0.07892679125892813,1.25,1.1490793201133145,0.9192634560906515,1.0
1.27,1,-48.43649181349233,-0.07878583004903796,1.25,1.1490793201133145,0.9192634560906515,1.0
1.37,1,-48.32418070525601,-0.07864281465772446,1.25,1.1490793201133145,0.9192634560906515,1.0
1.48,1,-48.20009331819431,-0.07848366992652697,1.25,1.1490793201133145,0.9192634560906515,1.0
1.58,1,-48.086884371223384,-0.07833773495603422,1.25,1.1490793201133145,0.9192634560906515,1.0
1.69,1,-47.961997852481296,-0.07817619450073855,1.25,1.1490793201133145,0.9192634560906515,1.0
1.79,1,-47.848201491827325,-0.0780286848868762,1.25,1.1490793201133145,0.9192634560906515,1.0
1.89,1,-47.734201794879034,-0.07788075758118303,1.25,1.1490793201133145,0.9192634560906515,1.0
2.0,1,-47.60861145780687,-0.0777177476504844,1.25,1.1490793201133145,0.9192634560906515,1.0
2.1,1,-47.49429774449173,-0.07756943572081468,1.25,1.1490793201133145,0.9192634560906515,1.0
2.2,1,-47.37987533274375,-0.07742111881212528,1.25,1.1490793201133145,0.9192634560906515,1.0
2.3,1,-47.26536410645731,-0.07727288368838248,1.25,1.1490793201133145,0.9192634560906515,1.0
2.41,1,-47.13931847527639,-0.07711000364028445,1.25,1.1490793201133145,0.9192634560906515,1.0
2.51,1,-47.02467009088249,-0.07696215527988838,1.25,1.1490793201133145,0.9192634560906515,1.0
