time_s,agent_id,x,y,base_speed,desired_speed,speed_factor,extinction_per_m
0.0,1,18.193090592387186,3.48518206222754,1.2,1.1031161473087818,0.9192634560906515,1.0
0.1,1,18.20292080681866,3.595054803290846,1.2,1.1031161473087818,0.9192634560906515,1.0
0.2,1,18.212751021250135,3.704927544354152,1.2,1.1031161473087818,0.9192634560906515,1.0
0.31,1,18.223564257124757,3.8257875595237887,1.2,1.1031161473087818,0.9192634560906515,1.0
0.41,1,18.23339447155623,3.9356603005870947,1.2,1.1031161473087818,0.9192634560906515,1.0
0.52,1,18.244207707430853,4.056520315756732,1.2,1.1031161473087818,0.9192634560906515,1.0
0.63,1,18.255020943305475,4.177380330926368,1.2,1.1031161473087818,0.9192634560906515,1.0
0.74,1,18.265834179180096,4.298240346096005,1.2,1.1031161473087818,0.9192634560906515,1.0
0.85,1,18.27664741505472,4.419100361265642,1.2,1.1031161473087818,0.9192634560906515,1.0
0.95,1,18.286477629486193,4.528973102328948,1.2,1.1031161473087818,0.9192634560906515,1.0
1.06,1,18.297290865360814,4.649833117498584,1.2,1.1031161473087818,0.9192634560906515,1.0
1.17,1,18.308104101235443,4.770693132668221,1.2,1.1031161473087818,0.9192634560906515,1.0
1.27,1,18.317934315666935,4.880565873731527,1.2,1.1031161473087818,0.9192634560906515,1.0
1.37,1,18.327764530098428,4.990438614794833,1.2,1.1031161473087818,0.9192634560906515,1.0
1.48,1,18.338577765973067,5.11129862996447,1.2,1.1031161473087818,0.9192634560906515,1.0
1.58,1,18.34840798040456,5.221171371027776,1.2,1.1031161473087818,0.9192634560906515,1.0
1.69,1,18.359221216279202,5.342031386197412,1.2,1.1031161473087818,0.9192634560906515,1.0
1.79,1,18.369051430710694,5.451904127260718,1.2,1.1031161473087818,0.9192634560906515,1.0
1.89,1,18.378881645142187,5.561776868324024,1.2,1.1031161473087818,0.9192634560906515,1.0
2.0,1,18.389694881016826,5.682636883493661,1.2,1.1031161473087818,0.9192634560906515,1.0
2.0,2,20.32903876369052,4.011920273971592,1.2,1.1031161473087818,0.9192634560906515,1.0
2.1,1,18.399525095408237,5.792509624560556,1.2,1.1031161473087818,0.9192634560906515,1.0
2.1,2,20.29751372524875,4.117631315475206,1.2,1.1031161473087818,0.9192634560906515,1.0
2.2,1,18.40935530978794,5.9023823656284975,1.2,1.1031161473087818,0.9192634560906515,1.0
2.2,2,20.26598868681426,4.223342356980992,1.2,1.1031161473087818,0.9192634560906515,1.0
2.3,1,18.41918552415259,6.0122551066977845,1.2,1.1031161473087818,0.9192634560906515,1.0
2.3,2,20.234463648389045,4.32905339848954,1.2,1.1031161473087818,0.9192634560906515,1.0
2.41,1,18.429998759931223,6.1331151218760125,1.2,1.1031161473087818,0.9192634560906515,1.0
2.41,2,20.199786106134948,4.445335544153012,1.2,1.1031161473087818,0.9192634560906515,1.0
2.51,1,18.439828974249217,6.242987862949475,1.2,1.1031161473087818,0.9192634560906515,1.0
2.51,2,20.168261067737813,4.551046585669936,1.2,1.1031161473087818,0.9192634560906515,1.0
2.62,1,18.450642209961934,6.363847878133601,1.2,1.1031161473087818,0.9192634560906515,1.0
2.62,2,20.13358352552281,4.667328731345065,1.2,1.1031161473087818,0.9192634560906515,1.0
2.72,1,18.46047242420352,6.473720619213898,1.2,1.1031161473087818,0.9192634560906515,1.0
2.72,2,20.10205848717027,4.773039772875289,1.2,1.1031161473087818,0.9192634560906515,1.0
2.83,1,18.471285659809737,6.594580634407552,1.2,1.1031161473087818,0.9192634560906515,1.0
